timestamp,open,high,low,close,volume,rsi_6,rsi_10,rsi_14,rsi_18,rsi_22,rsi_26,rsi_30,rsi_34,rsi_36,ema_20,ema_50,ema_100,ema_200,atr_6,atr_10,atr_14,atr_18,atr_22,atr_26,atr_30,atr_34,atr_38,atr_42,atr_46,atr_50,atr_54,atr_56,stoch_3,stoch_4,stoch_5,stoch_6,stoch_7,stoch_8,stoch_9,stoch_10,stoch_11,stoch_12,stoch_13,stoch_14,stoch_15,stoch_16,stoch_17,stoch_18,stoch_19,stoch_20,stoch_21,stoch_22,stoch_23,stoch_24,stoch_25,stoch_26,cci_4,cci_6,cci_8,cci_10,cci_12,cci_14,cci_16,cci_18,cci_20,cci_22,cci_24,cci_26,cci_28,cci_30,cci_32,cci_34,cci_36,cci_38,cci_40,wpr_4,wpr_6,wpr_8,wpr_10,wpr_12,wpr_14,wpr_16,wpr_18,wpr_20,wpr_22,wpr_24,wpr_26,wpr_28,wpr_30,wpr_32,wpr_34,wpr_36,wpr_38,wpr_40,adx_4,adx_6,adx_8,adx_10,adx_12,adx_14,adx_16,adx_18,adx_20,adx_22,adx_24,adx_26,adx_28,adx_30,adx_32,adx_34,adx_36,ema_long,macd,macd_signal,macd_hist,bb_position,hour,dow,session_london,session_ny,session_asia,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,session_london_ny_overlap,session_active_count,week_start,week_end,ret_1,ret_3,ret_5,ret_10,ret_20,close_zscore,pct_rank,sharpe_20,hl_range,body_size,d1_rsi,d1_ema_fast,d1_ema_slow,d1_trend_dir,d1_atr,d1_atr_pct,d1_adx,d1_alignment,atr_percentile_100,atr_zscore_100,vol_state,adx_trending,adx_strong,range_pos_50,range_pos_20,dist_ema50,dist_ema200,ex_tema,ex_dema,ex_ama,ex_env_upper,ex_env_lower,ex_env_position,ex_fractal_up,ex_fractal_down,ex_rvi,ex_rvi_signal,ex_obv,ex_mfi,ex_ac,ex_adxw,ex_adxw_plus_di,ex_adxw_minus_di,ex_chv,ex_pvt,ex_roc,ex_wpr,candle_hammer,candle_engulfing,candle_inside,candle_outside,candle_star,candle_soldiers,candle_marubozu,candle_harami,candle_piercing,candle_mathold
2020.12.31 20:00,103.29700,103.31300,103.20800,103.25900,2696,53.07479547,47.46383226,46.11094677,45.83343699,45.82713750,45.88266114,45.94759263,46.01067767,46.04102587,103.30937256,103.44515920,103.60992139,103.89573154,0.17516667,0.19960000,0.18964286,0.17983333,0.18077273,0.17973077,0.17513333,0.16908824,0.17047368,0.17245238,0.16973913,0.18116000,0.18640741,0.18878571,74.14806110,71.94982896,67.12765957,64.28571429,63.03956835,60.47658176,58.83293365,49.69615125,43.75743163,37.57018887,34.60272685,32.06971678,30.50145048,29.58199357,28.27506723,27.10865562,26.44628099,26.18285308,26.18285308,26.18285308,26.18285308,26.18285308,26.18285308,26.18285308,89.23476005,132.38213400,113.93688090,98.16115012,47.67379964,6.13579331,-15.84213729,-28.14797319,-37.35609991,-42.39840107,-47.31909271,-52.25418289,-57.41545006,-62.85981814,-67.65247091,-72.27030205,-76.72092167,-80.03177947,-84.55977405,-17.81250000,-17.81250000,-24.74747475,-29.88235294,-52.39616613,-57.85007072,-62.46851385,-65.70771001,-68.19637140,-68.19637140,-68.19637140,-68.19637140,-68.19637140,-68.19637140,-68.19637140,-68.19637140,-68.19637140,-68.19637140,-68.19637140,57.01414701,45.78137096,47.10168621,50.50091015,49.87401770,47.45998705,44.35600858,41.09739311,37.94426661,35.02054794,32.37630722,30.00702319,27.90537387,26.04614626,24.40500830,22.95259503,21.68411891,104.00025954,-0.10792994,-0.10702883,-0.00090111,0.30257732,20.00000000,4.00000000,0.00000000,1.00000000,0.00000000,-0.86602540,0.50000000,-0.43388374,-0.90096887,-0.50000000,0.86602540,0.00000000,1.00000000,0.00000000,0.00000000,-0.00033884,0.00237832,0.00129939,-0.00069679,-0.00335885,-1.09068618,0.12000000,-0.14283382,0.00101686,0.00036801,38.52673423,104.09104912,106.07651354,-1.00000000,0.44821429,0.10000000,18.71781491,1.00000000,0.42000000,-0.44327072,1.00000000,1.00000000,1.00000000,0.31803629,0.31803629,-0.00179959,-0.00612856,103.11251486,103.13491328,103.19579817,103.34388350,103.13740221,0.58890463,0.00000000,0.00000000,-0.14557709,-0.23643014,-497448.00000000,32.00638920,0.02010706,24.36805722,18.00385967,24.67640725,13.38822275,1916.66962421,-0.29924752,-57.85007072,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000
2021.01.04 00:00,103.09700,103.31600,102.99800,103.05600,10008,37.28514504,38.27523288,39.45150766,40.56570445,41.46655208,42.16620628,42.71286934,43.14971450,43.33715231,103.28524184,103.42989805,103.59895265,103.88737600,0.19350000,0.21300000,0.19771429,0.18838889,0.19100000,0.18880769,0.18293333,0.17367647,0.17526316,0.17585714,0.17367391,0.18278000,0.18542593,0.19058929,64.68750000,64.68750000,64.68750000,64.68750000,63.32046332,62.14028777,59.65488907,58.03357314,49.02093180,43.16290131,37.05972435,34.13258110,31.63398693,30.08702860,29.18006431,27.89089512,26.74033149,26.08695652,25.82710779,25.82710779,25.82710779,25.82710779,25.82710779,25.82710779,-33.83897316,-19.26153846,-29.14673753,-28.18016307,-45.44989775,-58.61835565,-63.84171019,-66.96515899,-70.20536094,-75.02736185,-81.38307778,-87.52046676,-93.46110850,-98.86882402,-104.24831037,-110.14460923,-115.96784010,-121.39149248,-127.25246102,-81.25000000,-81.25000000,-81.25000000,-76.01010101,-77.90697674,-84.82428115,-88.03526448,-88.48484848,-89.54895490,-89.86125934,-89.86125934,-89.86125934,-89.86125934,-89.86125934,-89.86125934,-89.86125934,-89.86125934,-89.86125934,-89.86125934,54.30615396,45.22350647,46.36686908,49.47822794,49.22946148,47.26231972,44.52752319,41.54067086,38.57506479,35.77313208,33.20171805,30.87085184,28.78301499,26.92077848,25.26521289,23.79110989,22.49541091,103.99242336,-0.11455439,-0.11146146,-0.00309293,0.11906496,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.78183148,0.62348980,0.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,-0.00196593,-0.00009703,-0.00074661,-0.00172424,-0.00763609,-1.99148300,0.02000000,-0.35255907,0.00308570,0.00039784,37.98763011,104.08940206,106.07617888,-1.00000000,0.45935714,0.15000000,18.71781491,1.00000000,0.21000000,-1.00076257,0.00000000,1.00000000,1.00000000,0.10138741,0.10451045,-0.00361499,-0.00800267,103.07556294,103.10097105,103.19430962,103.31042150,103.10400707,-0.23257614,0.00000000,102.99600000,-0.06562113,-0.18012982,-507456.00000000,32.35938993,0.02741529,24.78237980,15.86911904,29.58067282,25.44693548,1896.99459346,-0.28722248,-84.82428115,-1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2021.01.04 04:00,103.05500,103.07400,102.93400,103.00500,6035,34.21631520,36.31287258,37.96793306,39.36227885,40.45344556,41.29231585,41.94540854,42.46621793,42.68931028,103.25855214,103.41323538,103.58719122,103.87859614,0.19550000,0.20190000,0.20257143,0.18705556,0.18563636,0.18653846,0.18236667,0.17473529,0.17526316,0.17200000,0.17271739,0.17886000,0.18329630,0.18792857,38.55185910,38.55185910,38.55185910,38.55185910,38.55185910,39.07103825,39.52299830,37.29903537,36.30672926,30.76923077,27.15038034,23.36354481,21.54131848,19.98277347,19.01639344,18.44930417,17.64258555,16.92195478,16.51245552,16.34954193,16.34954193,16.34954193,16.34954193,16.34954193,-114.12429379,-98.62815884,-129.46096122,-140.90431125,-136.55200161,-126.19786281,-113.62412060,-104.72232175,-100.68613372,-99.53491927,-105.72668091,-112.22334949,-118.76014882,-124.59110239,-129.72886514,-135.72144225,-142.11424977,-149.08327009,-156.17359301,-81.41361257,-81.41361257,-81.41361257,-83.21513002,-84.29203540,-89.12710567,-90.32697548,-91.35200974,-92.07589286,-92.63485477,-92.63485477,-92.63485477,-92.63485477,-92.63485477,-92.63485477,-92.63485477,-92.63485477,-92.63485477,-92.63485477,61.19217142,50.02202235,49.03297444,50.79879394,50.21951617,48.24542513,45.58516246,42.67311001,39.75898559,36.98182142,34.41191852,32.06547462,29.94951848,28.05092794,26.35386598,24.83568273,23.49399942,103.98422898,-0.12250740,-0.11576477,-0.00674263,0.10094589,4.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.86602540,0.50000000,0.78183148,0.62348980,0.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,-0.00049488,-0.00279784,-0.00008737,-0.00037848,-0.00744859,-2.10507835,0.00000000,-0.34444421,0.00135916,0.00048541,37.36518889,104.08744127,106.07578048,-1.00000000,0.46392857,0.17000000,19.49957127,1.00000000,0.12000000,-1.17246219,0.00000000,1.00000000,1.00000000,0.07365145,0.07924107,-0.00394761,-0.00840978,103.03236563,103.06198384,103.19418442,103.27016700,103.06383300,-0.28513478,0.00000000,0.00000000,-0.01000732,-0.10971730,-513491.00000000,31.63487295,0.02030529,25.43405212,15.02449216,30.43937727,7.83726893,1894.00801335,-0.31648949,-89.12710567,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000
2021.01.04 08:00,103.00500,103.06100,102.71200,102.74400,10173,22.72811550,28.11608650,31.44985638,33.91103961,35.76824169,37.19005780,38.30196462,39.19281006,39.57518227,103.20954718,103.38699086,103.57049436,103.86730663,0.22150000,0.19720000,0.20942857,0.19955556,0.18809091,0.19180769,0.18850000,0.18202941,0.17926316,0.17683333,0.17743478,0.17706000,0.18835185,0.18753571,12.48085758,12.48085758,12.48085758,12.48085758,12.48085758,12.48085758,14.32706223,13.91426564,13.26188881,12.96660118,11.26920888,10.11235955,8.85906040,8.23970037,7.70128355,7.36333209,7.16353111,6.87738798,6.61985958,6.47270350,6.41399417,6.41399417,6.41399417,6.41399417,-107.48971193,-140.07418158,-172.77364816,-195.28097628,-219.39844542,-212.97242084,-182.21925877,-159.65388745,-146.70036507,-137.07564476,-136.76901942,-144.56066316,-151.36681393,-157.30981412,-162.08193234,-167.53875969,-174.77620480,-182.04964194,-190.90952979,-94.70198675,-94.70198675,-94.70198675,-94.70198675,-95.03875969,-95.28718704,-96.34285714,-96.93192713,-97.02048417,-97.23661485,-97.30185497,-97.30185497,-97.30185497,-97.30185497,-97.30185497,-97.30185497,-97.30185497,-97.30185497,-97.30185497,70.99587920,57.64720655,54.03798160,53.98690980,52.64002547,50.33533642,47.51988461,44.51892433,41.53734898,38.69644342,36.06050692,33.64559495,31.45916994,29.48959757,27.72220942,26.13554890,24.72700586,103.97393662,-0.14816281,-0.12170816,-0.02645465,-0.07811138,8.00000000,1.00000000,1.00000000,0.00000000,1.00000000,0.86602540,-0.50000000,0.78183148,0.62348980,0.00000000,1.00000000,0.00000000,2.00000000,1.00000000,0.00000000,-0.00253386,-0.00498746,-0.00312421,-0.00482362,-0.00970593,-2.95960964,0.00000000,-0.41240852,0.00339679,0.00254029,34.41070888,104.07716676,106.07369283,-1.00000000,0.47978571,0.23000000,20.69806934,1.00000000,0.10000000,-1.27639278,0.00000000,1.00000000,1.00000000,0.02698145,0.02979516,-0.00621926,-0.01081482,102.91136101,102.96672707,103.15116564,103.22669500,103.02044786,-1.34037181,103.31600000,0.00000000,-0.01671286,-0.05225781,-523664.00000000,31.11503974,0.00211000,26.82574851,13.14608175,34.58651477,1.37999345,1868.23108019,-0.47691349,-95.28718704,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000
2021.01.04 12:00,102.74300,103.05700,102.71300,103.02600,12756,46.16400078,43.44246536,42.86317406,42.94971899,43.21274668,43.49763144,43.76193043,43.99823534,44.10647269,103.19206649,103.37283435,103.55971229,103.85893542,0.26266667,0.22020000,0.22478571,0.21144444,0.19945455,0.19723077,0.19413333,0.18838235,0.18157895,0.18164286,0.18247826,0.17918000,0.18905556,0.18912500,30.93471810,26.22641509,26.22641509,26.22641509,26.22641509,26.22641509,26.22641509,25.56713673,24.94019139,23.93800230,23.47972973,20.78763709,18.89442682,16.78743961,15.72398190,14.78723404,14.19332880,13.84002655,13.33120205,12.87037037,12.60580411,12.50000000,12.50000000,12.50000000,-31.90031153,-63.26474623,-82.91497976,-99.32730225,-112.01970910,-123.89203122,-124.29279269,-116.94412255,-109.78105177,-106.22387991,-104.13328528,-109.09114970,-114.35746010,-119.76548638,-124.51820391,-128.72108929,-134.13732533,-139.92119323,-146.21270323,-48.01324503,-48.01324503,-48.01324503,-48.01324503,-51.31782946,-53.41246291,-64.11428571,-67.15481172,-69.89453500,-71.91413238,-73.52445194,-73.52445194,-73.52445194,-73.52445194,-73.52445194,-73.52445194,-73.52445194,-73.52445194,-73.52445194,76.87810387,63.09376670,57.93076495,56.59536824,54.68814873,52.14659288,49.22699239,46.17044241,43.14634443,40.26196785,37.57720824,35.10866932,32.86470750,30.83544981,29.00762296,27.36113701,25.89336330,103.96606993,-0.14407901,-0.12585517,-0.01822384,0.20221541,12.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.78183148,0.62348980,0.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00274469,-0.00029110,-0.00259454,-0.00152157,-0.00637496,-1.67332937,0.03000000,-0.23208003,0.00333896,0.00274688,37.63653176,104.08830402,106.07595577,-1.00000000,0.47978571,0.23000000,20.69806934,1.00000000,0.05000000,-1.38522697,0.00000000,1.00000000,1.00000000,0.26475548,0.30105465,-0.00335518,-0.00801987,102.92203438,102.96140572,103.15035052,103.20488750,102.99868393,0.13247138,0.00000000,0.00000000,-0.03589410,-0.02582593,-510908.00000000,40.98675973,-0.03115647,28.11803802,11.60585231,30.53426791,22.09399447,1903.24229252,-0.01747132,-53.41246291,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
2021.01.04 16:00,103.02700,103.25300,102.99800,103.17400,16012,54.79798930,49.69670318,47.77744341,46.97928119,46.61466573,46.43373422,46.34005940,46.29323929,46.28108020,103.19034587,103.36503693,103.55207443,103.85212014,0.25183333,0.22490000,0.22985714,0.21422222,0.20359091,0.20346154,0.19990000,0.19341176,0.18402632,0.18447619,0.18421739,0.18154000,0.18938889,0.19232143,53.61645654,46.19782733,44.59161148,44.59161148,44.59161148,44.59161148,44.59161148,44.59161148,43.60496492,42.66103485,41.14052953,40.44044044,36.26570916,33.26471799,29.85957132,28.11412665,26.56147272,25.56962025,24.97681607,24.11940299,23.33911034,22.88951841,22.70938730,22.70938730,115.49629630,48.88098414,42.87833828,44.94741655,34.69068128,32.63671467,12.13614831,-12.21835381,-28.22146818,-37.74612023,-44.46570973,-49.50369504,-53.58094891,-57.68339052,-61.82739343,-66.02982285,-70.19010624,-74.25091534,-78.29367101,-14.60258780,-23.50993377,-23.50993377,-23.50993377,-23.50993377,-28.37209302,-31.95876289,-47.20000000,-55.70469799,-56.98324022,-60.10362694,-61.04553120,-61.04553120,-61.04553120,-61.04553120,-61.04553120,-61.04553120,-61.04553120,-61.04553120,58.31969584,47.28883945,46.18295498,48.75167502,49.23627140,48.30284776,46.51417337,44.27233851,41.84356470,39.39786052,37.03787697,34.81107654,32.74709050,30.85188494,29.12361592,27.55085807,26.13644892,103.95949673,-0.12743126,-0.12730659,-0.00012467,0.34713069,16.00000000,1.00000000,1.00000000,1.00000000,0.00000000,-0.86602540,-0.50000000,0.78183148,0.62348980,0.00000000,1.00000000,1.00000000,2.00000000,1.00000000,0.00000000,0.00143653,0.00164070,-0.00082317,0.00047515,-0.00480361,-1.03671258,0.13000000,-0.16812489,0.00247155,0.00142478,39.55589470,104.09406872,106.07712709,-1.00000000,0.47978571,0.23000000,20.69806934,1.00000000,0.07000000,-1.35491999,0.00000000,1.00000000,1.00000000,0.38954469,0.44295302,-0.00184818,-0.00652967,102.98508517,102.99539270,103.15036364,103.20059750,102.99440250,0.87100803,0.00000000,102.71200000,-0.02599873,-0.02353667,-494896.00000000,51.24058904,-0.03411294,27.80946557,17.18735080,27.92263621,22.18807055,1926.24402024,-0.06590808,-28.37209302,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
2021.01.04 20:00,103.17400,103.19300,103.10400,103.12600,6694,51.57863133,47.79221580,46.38404388,45.86677762,45.68478425,45.63389083,45.63811182,45.66786939,45.68810506,103.18421770,103.35566293,103.54363731,103.84489506,0.24916667,0.22100000,0.21828571,0.21516667,0.20018182,0.19696154,0.19623333,0.19141176,0.18363158,0.18326190,0.17958696,0.17964000,0.18481481,0.18844643,82.39778240,70.58125741,68.03887936,65.67328918,65.67328918,65.67328918,65.67328918,65.67328918,65.67328918,64.22018349,62.82998944,60.59063136,59.55955956,53.41113106,48.99135447,43.97634885,41.40570633,39.11900066,37.65822785,36.78516229,35.52238806,34.37319469,33.71104816,33.44575604,66.49294245,70.26074701,34.67477494,44.33789954,41.28468974,28.93875823,21.91074593,-0.62842708,-20.62466078,-33.08859598,-40.83884107,-46.36146791,-50.52756850,-54.47764644,-58.35769614,-62.28816462,-66.25992863,-70.12947114,-73.96735449,-23.47504621,-31.45695364,-31.45695364,-31.45695364,-31.45695364,-35.81395349,-38.57566766,-52.68571429,-56.69456067,-60.30680729,-62.96958855,-65.09274874,-65.09274874,-65.09274874,-65.09274874,-65.09274874,-65.09274874,-65.09274874,-65.09274874,47.18465103,35.99960569,37.04576945,42.33410784,44.62314443,44.97160199,44.12050952,42.57403503,40.66485923,38.60889295,36.54169221,34.53552767,32.63758501,30.86725974,29.23257899,27.72973793,26.36639478,103.95257975,-0.11676500,-0.12600024,0.00923524,0.31412883,20.00000000,1.00000000,0.00000000,1.00000000,0.00000000,-0.86602540,0.50000000,0.78183148,0.62348980,0.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,-0.00046523,0.00371798,0.00067924,-0.00006787,-0.00521863,-1.19251428,0.12000000,-0.18273596,0.00086302,0.00046545,38.53975660,104.05327710,106.05302554,-1.00000000,0.44271429,0.07000000,22.93006464,1.00000000,0.01000000,-1.62189357,0.00000000,1.00000000,1.00000000,0.34907251,0.43305439,-0.00222206,-0.00692278,103.01839618,103.01214927,103.15036338,103.20646050,103.00025379,0.60980659,0.00000000,0.00000000,0.01918374,-0.02021913,-501590.00000000,52.95273366,-0.01118412,27.52293401,16.65201567,27.05292870,15.68469804,1923.12974727,-0.05527219,-35.81395349,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000
2021.01.05 00:00,103.10000,103.19000,103.07600,103.12600,6271,51.57863133,47.79221580,46.38404388,45.86677762,45.68478425,45.63389083,45.63811182,45.66786939,45.68810506,103.17867315,103.34665654,103.53536726,103.83774188,0.21516667,0.21310000,0.19814286,0.20744444,0.19972727,0.19000000,0.19296667,0.18991176,0.18397368,0.18128571,0.17889130,0.17928000,0.17879630,0.18625000,75.07485030,79.46979038,76.51245552,73.75643225,71.19205298,71.19205298,71.19205298,71.19205298,71.19205298,71.19205298,69.61683756,68.10982049,65.68228106,64.56456456,57.89946140,53.10827501,47.67184035,44.88517745,42.40631164,40.82278481,39.87635240,38.50746269,37.26169844,36.54390935,38.30093593,62.20828979,35.92662872,31.82079519,33.28666978,24.96784545,22.60953130,3.92628591,-18.00888374,-31.92032810,-40.01781208,-45.91390571,-50.23116238,-54.07199419,-57.83819426,-61.54630932,-65.27023732,-68.98073141,-72.66167550,-23.51851852,-23.47504621,-31.45695364,-31.45695364,-31.45695364,-31.45695364,-35.81395349,-39.02798233,-52.68571429,-60.30680729,-61.45251397,-64.24870466,-65.09274874,-65.09274874,-65.09274874,-65.09274874,-65.09274874,-65.09274874,-65.09274874,34.75374560,30.58820647,33.52415224,39.20237644,42.10593757,43.05919901,42.73181771,41.61419026,40.04587586,38.25573712,36.39296604,34.54281574,32.76260659,31.08030468,29.51057503,28.05501374,26.72460565,103.94572016,-0.10707759,-0.12300904,0.01593145,0.32656514,0.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.97492791,-0.22252093,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00097063,0.00117470,0.00108723,-0.00384452,-1.14994621,0.12000000,-0.13653054,0.00110544,0.00025212,38.89369841,104.05425749,106.05322474,-1.00000000,0.44900000,0.10000000,22.93006464,1.00000000,0.00000000,-1.88148015,0.00000000,1.00000000,1.00000000,0.34907251,0.47314286,-0.00213511,-0.00685437,103.04540541,103.02675933,103.15028399,103.19816650,102.99197636,0.65000024,103.25300000,0.00000000,0.07810731,0.00476387,-501590.00000000,44.52504144,0.02935059,27.38519521,15.96603269,26.95028984,5.18752435,1923.12974727,0.00096969,-31.45695364,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2021.01.05 04:00,103.12500,103.15100,102.93400,102.95400,7688,39.58003330,40.86437946,41.36993080,41.88239591,42.36147981,42.77797465,43.13264907,43.43591389,43.57172398,103.15727571,103.33125825,103.52385504,103.82894843,0.22800000,0.22510000,0.20550000,0.21233333,0.20368182,0.19473077,0.19343333,0.19114706,0.18631579,0.18035714,0.18052174,0.18138000,0.17840741,0.18412500,53.22580645,60.50000000,65.90628853,63.46381969,61.17781589,59.05077263,59.05077263,59.05077263,59.05077263,59.05077263,59.05077263,57.74419860,56.49419219,54.48065173,53.55355355,48.02513465,44.05104981,39.54175905,37.23034099,35.17422748,33.86075949,33.07573416,31.94029851,30.90699018,-133.33333333,-12.64124294,-19.68819599,-41.59807522,-45.84988288,-55.52444942,-66.78830637,-75.34283410,-83.94721744,-81.22633546,-79.59609264,-78.82529683,-78.63007272,-82.05504383,-85.76757012,-89.48017587,-92.72211841,-95.71675921,-99.41074832,-93.73040752,-55.26802218,-59.93377483,-59.93377483,-59.93377483,-59.93377483,-62.48062016,-64.09495549,-72.34285714,-74.68619247,-76.79769895,-78.35420394,-79.59527825,-79.59527825,-79.59527825,-79.59527825,-79.59527825,-79.59527825,-79.59527825,47.87321432,37.67653648,37.22817848,40.79082939,42.84548688,43.49809399,43.10647084,42.02002870,40.51403578,38.78859004,36.98105831,35.17353865,33.42303895,31.75908968,30.19821084,28.74404417,27.40855756,103.93749012,-0.11198828,-0.12227730,0.01028902,0.19346122,4.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.86602540,0.50000000,0.97492791,-0.22252093,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-0.00166786,-0.00213232,0.00204391,-0.00108668,-0.00592847,-1.74630760,0.01000000,-0.20698918,0.00210774,0.00166094,36.59490660,104.04755161,106.05186219,-1.00000000,0.45914286,0.15000000,22.93006464,1.00000000,0.00000000,-1.70500273,0.00000000,1.00000000,1.00000000,0.20404722,0.27657143,-0.00365096,-0.00842683,103.00715663,102.99668849,103.14974735,103.18179300,102.97563557,-0.10494684,0.00000000,0.00000000,0.09072978,0.04321886,-509278.00000000,39.91874896,0.06504235,27.86356449,14.72273641,29.94736270,17.30607387,1910.30721948,-0.17386406,-59.93377483,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000
2021.01.05 08:00,102.95400,102.99600,102.81200,102.83600,10110,33.21833146,36.79827134,38.31023289,39.39642164,40.25675988,40.94948180,41.51515118,41.98549774,42.19256397,103.12667802,103.31183635,103.51023415,103.81906834,0.20050000,0.21150000,0.20378571,0.21233333,0.20272727,0.19550000,0.19646667,0.19414706,0.18894737,0.18088095,0.18156522,0.18156000,0.17927778,0.17957143,19.28251121,36.85483871,44.61235217,48.02712700,46.26334520,44.59691252,43.04635762,43.04635762,43.04635762,43.04635762,43.04635762,43.04635762,42.09390178,41.18268215,39.71486762,39.03903904,35.00897666,32.11198024,28.82483370,27.13987474,25.64102564,24.68354430,24.11128284,23.28358209,-113.19199058,-108.08252887,-89.41821857,-97.78172138,-112.08638105,-127.88049871,-137.58872934,-150.86890348,-153.79652268,-146.42178007,-129.19291750,-119.85902426,-113.00496210,-111.44227465,-115.34339711,-118.81062970,-121.91424713,-124.03454775,-126.75489513,-93.70078740,-77.22222222,-77.07948244,-79.47019868,-79.47019868,-79.47019868,-79.47019868,-80.77519380,-81.73784978,-85.82857143,-88.11121764,-88.45437616,-89.29188256,-89.54468803,-89.54468803,-89.54468803,-89.54468803,-89.54468803,-89.54468803,62.34782918,47.78640215,43.69541087,44.68456514,45.41031376,45.37683708,44.62993848,43.35751469,41.75089498,39.96635521,38.11859502,36.27884861,34.49842985,32.80459345,31.21297511,29.72726692,28.35900233,103.92834912,-0.12397257,-0.12405981,0.00008724,0.12153468,8.00000000,2.00000000,1.00000000,0.00000000,1.00000000,0.86602540,-0.50000000,0.97492791,-0.22252093,0.00000000,1.00000000,0.00000000,2.00000000,0.00000000,0.00000000,-0.00114614,-0.00281209,-0.00184419,-0.00443395,-0.00499265,-2.06060691,0.01000000,-0.17979438,0.00178926,0.00114746,35.14917912,104.04288494,106.05091398,-1.00000000,0.46785714,0.18000000,22.93006464,1.00000000,0.01000000,-1.68204901,0.00000000,1.00000000,1.00000000,0.10455312,0.18262150,-0.00460583,-0.00946905,102.93864999,102.94397416,103.13290907,103.16112950,102.95501336,-0.57740920,0.00000000,0.00000000,0.04889602,0.06762566,-519388.00000000,37.80661058,0.06571059,28.75727716,13.74532920,32.36101587,-0.15228505,1898.71971439,-0.17309114,-79.47019868,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000
