side,entry,sl,tp,lots,open_idx,open_time,mfe,mae,exit,exit_time,close_idx,bars_held,pnl_pct,pnl_dollars,swap_pct,mae_pct,mfe_pct,reason,ambiguous
short,148.60527299999998,0,0,1.0,20,2025-08-22 08:00:00,-0.000664357313889024,-0.000664357313889024,148.7337408,2025-08-22 12:00:00,21,1,-0.0009644901853516996,-9.644901853516997,0.0,-0.000664357313889024,-0.000664357313889024,signal,False
long,146.7333408,0,0,1.0,22,2025-08-22 16:00:00,0.0009654193057123682,0.0009654193057123682,146.845625,2025-08-22 20:00:00,23,1,0.000665226221851311,6.645846176892968,0.0,0.0009654193057123682,0.0009654193057123682,signal,False
long,147.26144639999998,0,0,1.0,25,2025-08-25 04:00:00,0.0018643956494509798,0.00017352539055343261,147.50649280000002,2025-08-25 16:00:00,28,3,0.0015640227703212022,15.63553711184432,0.0,0.00017352539055343261,0.0018643956494509798,signal,False
long,147.13942200000002,0,0,1.0,30,2025-08-26 00:00:00,0.004292377878173002,0.0027496234149947014,147.5144912,2025-08-26 12:00:00,33,3,0.0024490734903116883,24.521682574810697,0.0,0.0027496234149947014,0.004292377878173002,signal,False
long,147.3364614,0,0,1.0,34,2025-08-26 16:00:00,0.004971875888964428,0.00015297367525903203,147.3295282,2025-08-27 16:00:00,40,6,-0.00014705691947608943,-1.4760335598935967,0.0,0.00015297367525903203,0.004971875888964428,signal,False
long,147.21643740000002,0,0,1.0,44,2025-08-28 08:00:00,-0.0007773411856794064,-0.0007773411856794064,147.0725796,2025-08-28 12:00:00,45,1,-0.0010771857174422179,-10.810293455710976,0.0,-0.0007773411856794064,-0.0007773411856794064,signal,False
long,147.3504642,0,0,1.0,51,2025-08-29 12:00:00,0.009986638372599018,-0.0029688688283073202,147.9084124,2025-09-03 16:00:00,70,19,0.003686538461410551,36.957075597791395,0.0,-0.0029688688283073202,0.009986638372599018,signal,False
short,148.04238560000002,0,0,1.0,71,2025-09-03 20:00:00,0.00010392699318964708,0.00010392699318964708,148.0566054,2025-09-04 00:00:00,72,1,-0.0001960522214117713,-1.9726439097788913,0.0,0.00010392699318964708,0.00010392699318964708,signal,False
long,147.3264594,0,0,1.0,81,2025-09-05 12:00:00,0.006872768164820189,-0.00127240823381923,148.3093322,2025-09-08 00:00:00,84,3,0.0065713936111872345,66.10727521348161,0.0,-0.00127240823381923,0.006872768164820189,signal,False
short,146.5946752,0,0,1.0,92,2025-09-09 08:00:00,-0.002246499059742075,-0.004613570029588461,147.3004542,2025-09-09 16:00:00,94,2,-0.0049144927435944025,-49.76397435837796,0.0,-0.004613570029588461,-0.002246499059742075,signal,False
long,147.434481,0,0,1.0,95,2025-09-09 20:00:00,-8.465455241781724e-05,-0.0007357912427555655,147.2965348,2025-09-10 04:00:00,97,2,-0.001035644084507043,-10.435356478503966,0.0,-0.0007357912427555655,-8.465455241781724e-05,signal,False
short,147.49749459999998,0,0,1.0,99,2025-09-10 12:00:00,0.0008440455231975945,0.00026776454818496555,147.46248659999998,2025-09-11 04:00:00,103,4,0.00013734640439109407,1.3824965221122092,0.0,0.00026776454818496555,0.0008440455231975945,signal,False
short,147.8194302,0,0,1.0,104,2025-09-11 08:00:00,0.0051510833113738155,0.0019715283681292915,147.0874116,2025-09-11 16:00:00,106,2,0.00485211352803607,48.8469387382825,0.0,0.0019715283681292915,0.0051510833113738155,signal,False
short,147.17155979999998,0,0,1.0,107,2025-09-11 20:00:00,-0.0004038837400431738,-0.004922419800296251,147.9255792,2025-09-12 08:00:00,110,3,-0.005223404284256314,-52.839924562141384,0.0,-0.004922419800296251,-0.0004038837400431738,signal,False
long,147.5785098,0,0,1.0,114,2025-09-15 00:00:00,-0.001148607613870989,-0.0020904791654156947,147.3085324,2025-09-15 16:00:00,118,4,-0.0019293815296406802,-19.415662924552148,0.0,-0.0020904791654156947,-0.001148607613870989,signal,False
long,147.4704882,0,0,1.0,120,2025-09-16 00:00:00,-0.0031022356105551985,-0.0031022356105551985,146.9835974,2025-09-16 04:00:00,121,1,-0.00340161516343307,-34.164931685278496,0.0,-0.0031022356105551985,-0.0031022356105551985,signal,False
long,147.1274196,0,0,1.0,123,2025-09-16 12:00:00,-0.004420791187450365,-0.005243207568631902,146.4477046,2025-09-16 20:00:00,125,2,-0.004719907029212844,-47.2442545716831,0.0,-0.005243207568631902,-0.004420791187450365,signal,False
long,146.5633068,0,0,1.0,126,2025-09-17 00:00:00,0.008888262884090588,-0.0018852385773270926,147.83642680000003,2025-09-18 16:00:00,136,10,0.008586485231513856,85.54138975302897,0.0,-0.0018852385773270926,0.008888262884090588,signal,False
