,mean,std
wpr_40,-41.48891631463638,29.90776045883744
adx_4,56.45370393875606,18.871544675399555
adx_6,46.944194191180216,16.80063811323709
adx_8,41.10356784599391,15.299636336809055
adx_10,37.05730190760216,14.135943261691816
adx_12,34.053371528767144,13.224985304011105
adx_14,31.71915149476659,12.508499136371114
adx_16,29.82975215804959,11.931636888173694
adx_18,28.27058383403657,11.45592350569764
adx_20,26.955551473080757,11.05571729125103
adx_22,25.81767876733897,10.715478994843973
adx_24,24.83160389318604,10.419006649496383
adx_26,23.96978324361546,10.154900961374022
adx_28,23.194646217622935,9.918678325752582
adx_30,22.50118525338828,9.703417803954274
adx_32,21.87088170361823,9.506701915588854
adx_34,21.29678576020501,9.325637683154282
adx_36,20.771831131834052,9.156479082534211
ema_long,134.63636702058596,16.627696713946133
macd,0.04263546007757307,0.38965235655687974
macd_signal,0.042595958138246307,0.3773008097348391
macd_hist,3.950186590940528e-05,0.1421186589741982
bb_position,0.5567292925072724,0.33912127981383067
hour,9.996398393129242,6.832313523485256
dow,3.0009696633882808,1.4148498651245276
session_london,0.4997922149882255,0.5000346012559919
session_ny,0.33314863554508933,0.4713718386817381
session_asia,0.5003463083529575,0.5000345244957983
hour_sin,0.00035989419587200447,0.7071801659622837
hour_cos,0.00034630835295747334,0.7071311970417319
dow_sin,0.155678624219421,0.744316150611343
dow_cos,-0.32445338263471396,0.5626795368369499
month_sin,0.059719000914254056,0.697490309555579
month_cos,-0.017073441612411713,0.7139940045724499
session_london_ny_overlap,0.16650505610195318,0.37255919923388037
session_active_count,1.3332871588862723,0.4714208556406822
week_start,0.1998891813270536,0.399944573792411
week_end,0.20030475135060258,0.4002561155898242
ret_1,5.2842118021886684e-05,0.002506934329338105
ret_3,0.00015915816595096275,0.004375780951903797
ret_5,0.0002646642942235766,0.005686169400807731
ret_10,0.0005261216484277601,0.00799627119580656
ret_20,0.0010402461476658818,0.010966151217223212
close_zscore,0.27864291920487605,1.3654637762815602
pct_rank,0.5974234658539964,0.3466700089578806
sharpe_20,0.05536327135337304,0.2433912498392186
hl_range,0.0033329400235489683,0.0025187306525242073
body_size,0.00164173505887242,0.001892123242407567
d1_rsi,54.853189907949854,12.413276580488738
d1_ema_fast,134.49394670449507,16.64805015446499
d1_ema_slow,131.016767426753,16.470662010813662
d1_trend_dir,0.6606178141016761,0.7507743995875497
d1_atr,1.1706361288280926,0.48791614658149296
d1_atr_pct,0.4589015099044189,0.3224657004201368
d1_adx,35.01400942508796,14.486304523234736
d1_alignment,0.5793046128272614,0.49370492459247917
atr_percentile_100,0.5024089209031721,0.3151377656752314
atr_zscore_100,0.06927162936279263,1.2410939323499903
vol_state,1.0203629311538995,0.8369420425187831
adx_trending,0.6419171630419725,0.4794698882551307
adx_strong,0.2220529159163319,0.41565533720891
range_pos_50,0.5900786103144479,0.29784048797839147
range_pos_20,0.5751427986964953,0.2997358936580131
dist_ema50,0.0012029642166505059,0.008616449118579743
