side,entry,sl,tp,lots,open_idx,open_time,exit,exit_time,close_idx,bars_held,pnl_pct,pnl_dollars,reason
long,0.7708041299999999,0,0,1.0,561,2021-05-13 08:00:00,0.772535462,2021-05-13 16:00:00,563,2,0.002146137420151194,21.582094576060943,signal
short,0.7719355820000001,0,0,1.0,565,2021-05-14 00:00:00,0.77500497,2021-05-20 04:00:00,590,25,-0.004076222979704406,-41.07949104428103,signal
short,0.775804808,0,0,1.0,592,2021-05-20 12:00:00,0.776985366,2021-05-20 16:00:00,593,1,-0.0016217203964531937,-16.276806520618102,signal
short,0.776584652,0,0,1.0,595,2021-05-21 00:00:00,0.772014372,2021-05-24 08:00:00,603,8,0.005785102143378488,57.969476400920094,signal
short,0.7735252640000001,0,0,1.0,604,2021-05-24 12:00:00,0.775595088,2021-05-25 00:00:00,607,3,-0.002775832447018675,-27.976075592550842,signal
short,0.775754818,0,0,1.0,608,2021-05-25 04:00:00,0.776795328,2021-05-25 08:00:00,609,1,-0.001441287190046094,-14.48561260592352,signal
short,0.7756248440000001,0,0,1.0,610,2021-05-25 12:00:00,0.774114792,2021-05-27 08:00:00,621,11,0.0018468845172784263,18.535302823685083,signal
short,0.772975374,0,0,1.0,623,2021-05-27 16:00:00,0.774274824,2021-05-27 20:00:00,624,1,-0.0017811014214794115,-17.90811800383419,signal
short,0.7740351620000001,0,0,1.0,626,2021-05-28 04:00:00,0.773684706,2021-05-31 12:00:00,634,8,0.0003527649610833241,3.540564631478285,signal
short,0.773585252,0,0,1.0,635,2021-05-31 16:00:00,0.7764652619999999,2021-06-07 16:00:00,665,30,-0.003822938089310851,-38.38287721742999,max_hold
short,0.776154738,0,0,1.0,665,2021-06-07 16:00:00,0.770994168,2021-06-14 08:00:00,693,28,0.006548893252005157,65.50051440053973,signal
short,0.771655638,0,0,1.0,694,2021-06-14 12:00:00,0.7693138319999999,2021-06-15 08:00:00,699,5,0.0029347811700950895,29.5452316106881,signal
short,0.7688162060000001,0,0,1.0,700,2021-06-15 12:00:00,0.760182006,2021-06-17 08:00:00,711,11,0.011130512484800752,112.38271729858965,signal
short,0.754159138,0,0,1.0,713,2021-06-17 16:00:00,0.757621494,2021-06-24 00:00:00,739,26,-0.004691015112781144,-47.89149736084034,signal
short,0.757858398,0,0,1.0,743,2021-06-24 16:00:00,0.7591117919999999,2021-06-28 00:00:00,751,8,-0.0017538630479092584,-17.821538218838338,signal
short,0.7582783140000001,0,0,1.0,753,2021-06-28 08:00:00,0.753270624,2021-07-05 08:00:00,783,30,0.006504026394456692,65.97348735936086,max_hold
short,0.752559458,0,0,1.0,786,2021-07-05 20:00:00,0.7487497200000001,2021-07-06 16:00:00,791,5,0.0049623747525872584,50.663153837594145,signal
short,0.7490101680000001,0,0,1.0,792,2021-07-06 20:00:00,0.7506701039999999,2021-07-07 08:00:00,795,3,-0.002316172851741321,-23.764212774909858,signal
short,0.7505998500000001,0,0,1.0,796,2021-07-07 12:00:00,0.7431285959999999,2021-07-08 20:00:00,804,8,0.009853711021924864,100.86609769588024,signal
short,0.742171536,0,0,1.0,805,2021-07-09 00:00:00,0.744538878,2021-07-13 20:00:00,822,17,-0.003289750462216587,-34.006882427348714,signal
