side,entry,sl,tp,lots,open_idx,open_time,mfe,mae,exit,exit_time,close_idx,bars_held,pnl_pct,pnl_dollars,swap_pct,mae_pct,mfe_pct,reason,ambiguous
short,119.4990954,0,0,1.0,30,2015-01-08 16:00:00,0.011482056792205694,-0.0013046508802274958,119.1598272,2015-01-12 08:00:00,40,10,0.002739085926670592,27.39085926670592,0.0,-0.0013046508802274958,0.011482056792205694,signal,False
long,118.8847722,0,0,1.0,41,2015-01-12 12:00:00,-0.0018906727568259905,-0.008678758270775456,118.43330859999999,2015-01-13 12:00:00,47,6,-0.0038974888763761363,-39.081644333067736,0.0,-0.008678758270775456,-0.0018906727568259905,signal,False
long,117.9855924,0,0,1.0,48,2015-01-13 16:00:00,-0.000513557619769212,-0.014116913481717692,117.67646,2015-01-15 00:00:00,56,8,-0.0027200860097558463,-27.169060156656393,0.0,-0.014116913481717692,-0.000513557619769212,signal,False
short,117.52649,0,0,1.0,66,2015-01-16 16:00:00,0.0036033578472393843,-0.00653903643340328,118.318659,2015-01-20 04:00:00,75,9,-0.0068403442406899185,-68.13762768843381,0.0,-0.00653903643340328,0.0036033578472393843,signal,False
short,118.2583436,0,0,1.0,76,2015-01-20 08:00:00,0.008399776030686793,-0.004605648814448588,118.058607,2015-01-22 00:00:00,86,10,0.0015889852666599372,15.71983525857323,0.0,-0.004605648814448588,0.008399776030686793,signal,False
short,118.1723608,0,0,1.0,87,2015-01-22 04:00:00,0.004293396497838272,-0.002958722307255442,118.3996752,2015-01-26 16:00:00,102,15,-0.002023583471305224,-20.051126794198087,0.0,-0.002958722307255442,0.004293396497838272,signal,False
short,118.3543244,0,0,1.0,104,2015-01-27 00:00:00,0.001946058170393313,0.0007800678215015473,118.14762479999999,2015-01-27 08:00:00,106,2,0.001646447382027449,16.28117686750625,0.0,0.0007800678215015473,0.001946058170393313,signal,False
short,118.1093734,0,0,1.0,110,2015-01-28 00:00:00,0.002958049729184241,0.00022329641789461146,117.783552,2015-01-28 12:00:00,113,3,0.002658641339130119,26.333715945777556,0.0,0.00022329641789461146,0.002958049729184241,signal,False
short,117.7734406,0,0,1.0,114,2015-01-28 16:00:00,0.0021943877896694487,3.770459602243498e-05,117.79255380000001,2015-01-29 00:00:00,116,2,-0.00026228786305837714,-2.604855816030476,0.0,3.770459602243498e-05,0.0021943877896694487,signal,False
short,117.5974758,0,0,1.0,117,2015-01-29 04:00:00,-0.00044664394063471626,-0.006331123988292279,117.67353,2015-01-30 08:00:00,124,7,-0.0007467332694227908,-7.414076627708227,0.0,-0.006331123988292279,-0.00044664394063471626,signal,False
long,117.4694892,0,0,1.0,125,2015-01-30 12:00:00,0.001911226494036755,-0.0014002716885908731,117.56048320000001,2015-02-02 20:00:00,133,8,0.0006746181635733981,6.693067056034211,0.0,-0.0014002716885908731,0.001911226494036755,signal,False
long,117.2444442,0,0,1.0,134,2015-02-03 00:00:00,0.0038940506146387583,-0.0020934399209682,117.52649,2015-02-03 20:00:00,139,5,0.002305621877646222,22.890122382725572,0.0,-0.0020934399209682,0.0038940506146387583,signal,False
long,117.9725898,0,0,1.0,140,2015-02-04 00:00:00,-0.0021241357880235345,-0.005887721895209159,117.4904972,2015-02-04 16:00:00,144,4,-0.004186479756164525,-41.65903369493673,0.0,-0.005887721895209159,-0.0021241357880235345,signal,False
long,117.1894332,0,0,1.0,146,2015-02-05 00:00:00,0.0011994835725513348,3.8969383802824895e-05,117.306534,2015-02-05 08:00:00,148,2,0.0008992436758368321,8.91077765564294,0.0,3.8969383802824895e-05,0.0011994835725513348,signal,False
long,117.3244602,0,0,1.0,153,2015-02-06 04:00:00,0.015687605098395348,-0.00043009104762966894,118.46430240000001,2015-02-09 08:00:00,160,7,0.009615298907465196,95.3655165681974,0.0,-0.00043009104762966894,0.015687605098395348,signal,False
long,118.63572239999999,0,0,1.0,161,2015-02-09 12:00:00,0.00041536898838836236,0.00041536898838836236,118.661263,2015-02-09 16:00:00,162,1,0.00011528591459070992,1.1544117757809265,0.0,0.00041536898838836236,0.00041536898838836236,signal,False
short,118.53128900000002,0,0,1.0,165,2015-02-10 04:00:00,-0.002452609791495539,-0.008729433457860963,119.5899132,2015-02-11 04:00:00,171,6,-0.009031179344552496,-90.44384787069217,0.0,-0.008729433457860963,-0.002452609791495539,signal,False
short,119.76504220000001,0,0,1.0,172,2015-02-11 08:00:00,0.0009689154520250286,-0.005727529397555565,119.67292979999999,2015-02-12 08:00:00,178,6,0.0006691092351155124,6.640359291106113,0.0,-0.005727529397555565,0.0009689154520250286,signal,False
short,118.47030120000001,0,0,1.0,183,2015-02-13 04:00:00,-0.00041106335939658116,-0.0049269630792497165,118.6567266,2015-02-16 08:00:00,190,7,-0.0016736045077261126,-16.620262722633054,0.0,-0.0049269630792497165,-0.00041106335939658116,signal,False
short,118.4992954,0,0,1.0,191,2015-02-16 12:00:00,0.001057351434682023,0.001057351434682023,118.39767479999999,2015-02-16 16:00:00,192,1,0.0007575629049690024,7.510628869407641,0.0,0.001057351434682023,0.001057351434682023,signal,False
long,118.7957544,0,0,1.0,196,2015-02-17 08:00:00,0.0036974856737808843,-0.00040198742994810514,119.211153,2015-02-17 20:00:00,199,3,0.0033967461766460988,33.701526891548454,0.0,-0.00040198742994810514,0.0036974856737808843,signal,False
short,119.0931766,0,0,1.0,209,2015-02-19 12:00:00,0.0036037043620180437,0.0012777944492245931,118.68773279999999,2015-02-20 08:00:00,214,5,0.0033044251028905266,32.89690824062366,0.0,0.0012777944492245931,0.0036037043620180437,signal,False
long,118.52369999999999,0,0,1.0,215,2015-02-20 12:00:00,0.004727324577278741,0.0020865025307175685,118.98319860000001,2015-02-23 04:00:00,219,4,0.0037768499464665524,37.72433815705554,0.0,0.0020865025307175685,0.004727324577278741,signal,False
long,118.9247802,0,0,1.0,221,2015-02-23 12:00:00,0.0049966020454331244,-0.0009987842718754366,118.8692214,2015-02-24 16:00:00,228,7,-0.0005671759738093678,-5.68652429772475,0.0,-0.0009987842718754366,0.0049966020454331244,signal,False
short,118.9402072,0,0,1.0,229,2015-02-24 20:00:00,0.0022297522952356695,0.0022297522952356695,118.698735,2015-02-25 00:00:00,230,1,0.001930198245694699,19.341252695845647,0.0,0.0022297522952356695,0.0022297522952356695,signal,False
short,118.87921940000001,0,0,1.0,233,2015-02-25 12:00:00,0.001372985125775623,-0.004649934637777334,119.4558864,2015-02-26 16:00:00,240,7,-0.004950864624704848,-49.70512842367849,0.0,-0.004649934637777334,0.001372985125775623,signal,False
long,119.433882,0,0,1.0,241,2015-02-26 20:00:00,0.005920581230039967,-0.002125711697121175,120.1169718,2015-03-02 16:00:00,252,11,0.005619397113793929,56.13767213182203,0.0,-0.002125711697121175,0.005920581230039967,signal,False
long,119.7979548,0,0,1.0,256,2015-03-03 08:00:00,-0.0002750864992229303,-0.002353586089768488,119.74104700000001,2015-03-04 16:00:00,264,8,-0.0005750314819230163,-5.7768346850058,0.0,-0.002353586089768488,-0.0002750864992229303,signal,False
long,119.84096339999999,0,0,1.0,266,2015-03-05 00:00:00,-8.313851722581796e-05,-8.313851722581796e-05,119.8070338,2015-03-05 04:00:00,267,1,-0.0003831218895224047,-3.846674854405341,0.0,-8.313851722581796e-05,-8.313851722581796e-05,signal,False
long,119.97799079999999,0,0,1.0,268,2015-03-05 08:00:00,0.0022088151187810074,0.0022088151187810074,120.2189514,2015-03-05 12:00:00,269,1,0.0019083733557572478,19.153380542204875,0.0,0.0022088151187810074,0.0022088151187810074,signal,False
short,120.110973,0,0,1.0,270,2015-03-05 16:00:00,0.000840664241392801,-0.00010013240005976258,120.0700092,2015-03-06 08:00:00,274,4,0.00024104960585075028,2.4239101922592945,0.0,-0.00010013240005976258,0.000840664241392801,signal,False
long,120.789153,0,0,1.0,275,2015-03-06 12:00:00,0.0011163833560452875,0.0011163833560452875,120.8998152,2015-03-06 16:00:00,276,1,0.0008161600793740747,8.208997463640202,0.0,0.0011163833560452875,0.0011163833560452875,signal,False
long,120.7911534,0,0,1.0,278,2015-03-09 00:00:00,0.0012819365958633114,0.0012819365958633114,120.9218108,2015-03-09 04:00:00,279,1,0.00098168020854418,9.881869576721613,0.0,0.0012819365958633114,0.0012819365958633114,signal,False
long,120.7611474,0,0,1.0,280,2015-03-09 08:00:00,0.005124600199020606,0.0012491815724500763,121.355724,2015-03-09 16:00:00,282,2,0.004823575278980799,48.603133787153865,0.0,0.0012491815724500763,0.005124600199020606,signal,False
long,121.1702292,0,0,1.0,283,2015-03-09 20:00:00,0.005791610733373157,0.0019787929888639864,121.8476256,2015-03-10 08:00:00,286,3,0.005490452411226489,55.589550085103866,0.0,0.0019787929888639864,0.005791610733373157,signal,False
short,121.09277660000001,0,0,1.0,289,2015-03-10 20:00:00,-0.0012653388938807062,-0.003751036294265544,121.519299,2015-03-12 04:00:00,297,8,-0.0036222778102521108,-36.876078772084554,0.0,-0.003751036294265544,-0.0012653388938807062,signal,False
short,121.2987354,0,0,1.0,300,2015-03-12 16:00:00,0.0001297243532515588,-0.001090403783385191,121.45528619999999,2015-03-13 00:00:00,302,2,-0.0013906218641417997,-14.105745391840763,0.0,-0.001090403783385191,0.0001297243532515588,signal,False
short,121.44970520000001,0,0,1.0,303,2015-03-13 04:00:00,0.0015373046784473033,0.00035162868390408033,121.3972746,2015-03-17 08:00:00,316,13,0.00033170627638549503,3.359977093718558,0.0,0.00035162868390408033,0.0015373046784473033,signal,False
short,121.310733,0,0,1.0,321,2015-03-18 04:00:00,0.0014156455554514146,0.00027807102608141043,121.16322779999999,2015-03-18 12:00:00,323,2,0.001115928684562576,11.307409043292598,0.0,0.00027807102608141043,0.0014156455554514146,signal,False
long,120.1280208,0,0,1.0,325,2015-03-18 20:00:00,0.006476250876514935,-0.0031135183740577926,120.7528446,2015-03-19 20:00:00,331,6,0.0051013160280086916,51.747963404246136,0.0,-0.0031135183740577926,0.006476250876514935,signal,False
